x1,x2,x3,x4,x5
26,8,41,0.1728576231054082,0.8297500606774009
39,77,48,0.7980245453169282,0.5451355773828178
61,71,40,0.3193860653471008,0.6598826073679049
26,28,90,0.43237916070182725,0.7332011998248189
19,32,32,0.3145191549477394,0.3813366408199099
89,39,12,0.7044133867536109,0.2773265495161308
97,13,39,0.7751629934185772,0.5226200072681697
79,59,54,0.8458708840361149,0.6290122470727716
69,28,45,0.677914142197474,0.8377305550190081
23,17,12,0.7345473220350985,0.8760406776742933
28,14,84,0.22991602981757375,0.4027976052245995
69,40,74,0.03014303213965197,0.28428068903319303
64,22,16,0.04698771576676686,0.03394026195023847
18,66,72,0.8508238468993752,0.778853694768343
54,91,3,0.6151132721730211,0.6409241251898591
53,53,43,0.045414904333145656,0.6658159483509436
37,49,3,0.5110053562364333,0.8463997254677588
33,99,40,0.8140960270572455,0.8098464747287272
98,60,60,0.8635966124581168,0.8590502894499571
18,81,20,0.7372753445499752,0.8549756956058224
43,32,66,0.49765239652392623,0.8706889259873941
72,74,28,0.31658139785585193,0.6886854665456277
91,99,81,0.005985276613987511,0.7434913367505913
15,98,8,0.3177203786074213,0.38847824116508556
71,21,57,0.7537150032818921,0.5291449115179662
39,41,47,0.9758421208081045,0.34055911880427103
88,67,76,0.6480025046176153,0.9154189690465245
12,95,12,0.16886729009977197,0.5062513788621446
46,82,13,0.35145682620386676,0.5779961485371469
48,82,79,0.29589278997287405,0.7971976783889999
48,73,57,0.9399839288487121,0.920357741630125
3,13,29,0.1749593289017065,0.5633213242433426
42,44,71,0.7755614190151998,0.24408094673769853
25,59,94,0.9134743346337625,0.9796393636031547
35,67,20,0.7483672787203793,0.893567803599456
44,81,99,0.5390977928894467,0.7664082606994792
20,84,88,0.19081822382253188,0.7880549874229308
41,5,35,0.10257793053828013,0.5828240411387379
99,19,45,0.2487379389640214,0.1412311892604713
24,47,94,0.7240851157534745,0.7391211077696033
55,30,13,0.43695008993995144,0.016551620276709755
99,2,83,0.7369515564366589,0.48248411263635316
63,41,36,0.8827462574786975,0.3281505735589342
12,67,39,0.12765944151815356,0.05977341051184071
73,49,72,0.5038106162148565,0.8269132093642743
47,25,3,0.9867801674494051,0.8033300813070287
1,51,47,0.28304696228149295,0.22809358224804344
16,51,85,0.09085233029537398,0.8443326254028396
94,31,5,0.5179234671950926,0.6649942449531453
83,32,17,0.8870169040483012,0.5633025620226455
60,31,1,0.4041580740211923,0.45121997632968036
31,37,54,0.20492451055453875,0.35616694610249355
1,67,90,0.4992416793975677,0.6272043759440131
51,83,34,0.7441801868621857,0.9691190156482162
63,98,62,0.22199856435536913,0.911849028496374
17,7,36,0.899129099114074,0.6270230415498694
36,80,75,0.24541049396851,0.1964600959506082
26,89,20,0.37658223551897196,0.36428463696176605
41,88,59,0.5993383809224492,0.7519915531892803
78,63,70,0.5254404336801154,0.9507579428072895
77,22,62,0.15666773987876514,0.04970586181817793
92,8,38,0.5668206542042624,0.24062074741979644
31,3,94,0.1546107897246347,0.17708064189779982
84,8,16,0.6218637778146002,0.6606961419791524
78,60,90,0.5885032997944911,0.7325048123450877
0,32,16,0.42464856434965614,0.902615330867737
3,27,100,0.47370272523456025,0.46246668281428893
80,86,59,0.7957627122287669,0.17813596470603155
21,37,4,0.6097337739721383,0.6012184747723591
23,24,5,0.8890581946821035,0.01454821837205833
35,73,79,0.9726100733876181,0.29082140499379694
24,67,51,0.881682026358696,0.9848771318082693
52,9,8,0.6374867589033272,0.9296150523811599
90,51,4,0.5892624772323383,0.42494251363069646
63,1,12,0.17743390884742094,0.7402303702956229
91,63,51,0.10363769983267146,0.47301399093617735
89,10,84,0.10379127778938968,0.5564664130996628
10,49,99,0.3608553831611656,0.9451981915530788
20,51,80,0.17396824385351217,0.5205175108463539
58,20,89,0.46769794711944357,0.7738838840785646
72,71,61,0.00764493747567907,0.2527464740669302
62,7,27,0.46865551173330067,0.044300376056306656
67,3,15,0.54455104381485,0.4472292197896143
1,55,71,0.8524882952961708,0.7114063724788776
0,75,56,0.17462814334797494,0.9484719655676203
79,13,53,0.2582336421402833,0.5292673650800378
53,66,55,0.002930181941518728,0.016390035994972574
36,90,11,0.9589563014078982,0.24385951651273718
37,32,15,0.2889349155642861,0.37996170866018386
5,27,15,0.4069948189787461,0.9992319713618187
41,91,37,0.44256074868601736,0.7898860470177969
7,3,72,0.33878033756872705,0.2222481024515881
94,90,94,0.8661765607745576,0.3588824328507114
29,10,1,0.7832747243818095,0.7179150886569424
80,83,93,0.0981288741744436,0.6187088668200122
35,1,43,0.5339835701765007,0.25847451280237776
94,50,26,0.3218495519778364,0.6375707779925626
55,21,35,0.017735655687329155,0.3380063658365331
99,47,53,0.06452921775856801,0.5711639698712778
57,13,95,0.4034842127665751,0.4787206390133808
9,72,32,0.28105235635006764,0.8392766966479078
2,29,41,0.6318711579906304,0.49953961124262314
8,55,47,0.79143361172604,0.19580338383365525
28,66,16,0.683893077941784,0.9262979085211358
24,32,47,0.7504973272353561,0.1804149531483652
88,63,88,0.617358397060891,0.5283979212786059
83,15,49,0.6759412202976216,0.13887752561614042
11,15,8,0.33654266674660793,0.7392379529064933
24,76,20,0.9046139925220634,0.6535695948776596
15,66,87,0.9843196624579815,0.3012611378917913
49,34,69,0.7970371989330827,0.7743537679999647
93,98,45,0.36000944184157946,0.15100520925908634
68,7,85,0.2975487102240467,0.30122903456490724
98,20,37,0.4995261163121979,0.71558936730476
15,64,85,0.6631008743979132,0.3677452442729072
37,28,81,0.8960737516215392,0.409674148561585
11,35,81,0.3171705256484173,0.7815539523353752
95,47,17,0.7507285290435615,0.804443866941409
65,82,43,0.13574413246547135,0.636718272719007
59,42,48,0.8831292666988598,0.23792019122386543
37,99,69,0.18335898901558823,0.8467803016109604
90,29,71,0.21005845183536775,0.9076484320453585
10,93,36,0.16129191194922443,0.17111315709051567
81,92,23,0.6150080706519689,0.22657963483080823
1,1,83,0.31630205811497036,0.5310100312430919
51,59,47,0.8806493837616453,0.671322833605545
91,62,74,0.7968803160113063,0.10884799271588574
26,94,98,0.07635955420916107,0.33331509618003463
23,38,0,0.17239965205585772,0.33319047199611074
46,41,97,0.12769775762456304,0.32573451042023593
